Date,Close,Volume,DayOfWeek,Month
2023-04-04 16:00:00,319.07,45875384,1,4
2023-04-05 16:00:00,315.92,62795706,2,4
2023-04-06 16:00:00,318.05,46916496,3,4
2023-04-10 16:00:00,317.87,45134736,0,4
2023-04-11 16:00:00,315.83,40113594,1,4
2023-04-12 16:00:00,313.04,62813305,2,4
2023-04-13 16:00:00,319.17,54613792,3,4
2023-04-14 16:00:00,318.57,56278284,4,4
2023-04-17 16:00:00,318.84,43007023,0,4
2023-04-18 16:00:00,318.86,46746940,1,4
2023-04-19 16:00:00,318.71,38960127,2,4
2023-04-20 16:00:00,316.28,62462142,3,4
2023-04-21 16:00:00,316.61,59002285,4,4
2023-04-24 16:00:00,315.95,44043063,0,4
2023-04-25 16:00:00,309.99,57121644,1,4
2023-04-26 16:00:00,311.87,55400496,2,4
2023-04-27 16:00:00,320.35,65430392,3,4
2023-04-28 16:00:00,322.56,59712635,4,4
2023-05-01 16:00:00,322.19,41013386,0,5
2023-05-02 16:00:00,319.38,56519407,1,5
2023-05-03 16:00:00,317.29,59882070,2,5
2023-05-04 16:00:00,316.17,50224520,3,5
2023-05-05 16:00:00,322.89,51806098,4,5
2023-05-08 16:00:00,323.69,36465796,0,5
2023-05-09 16:00:00,321.64,31768800,1,5
2023-05-10 16:00:00,325.14,60446623,2,5
2023-05-11 16:00:00,326.2,44278548,3,5
2023-05-12 16:00:00,325.03,48432836,4,5
2023-05-15 16:00:00,326.79,33375559,0,5
2023-05-16 16:00:00,327.16,40019151,1,5
2023-05-17 16:00:00,331.12,47486124,2,5
2023-05-18 16:00:00,337.27,64213466,3,5
2023-05-19 16:00:00,336.51,61554926,4,5
2023-05-22 16:00:00,337.64,43015948,0,5
2023-05-23 16:00:00,333.36,48216663,1,5
2023-05-24 16:00:00,331.65,62891169,2,5
2023-05-25 16:00:00,339.72,66862773,3,5
2023-05-26 16:00:00,348.4,63006952,4,5
2023-05-30 16:00:00,349.98,72652156,1,5
2023-05-31 16:00:00,347.99,65105378,2,5
2023-06-01 16:00:00,352.01,50488601,3,6
2023-06-02 16:00:00,354.65,53372113,4,6
2023-06-05 16:00:00,354.9,47266228,0,6
2023-06-06 16:00:00,354.84,41390400,1,6
2023-06-07 16:00:00,348.82,69225936,2,6
2023-06-08 16:00:00,353.15,47153922,3,6
2023-06-09 16:00:00,354.5,53196927,4,6
2023-06-12 16:00:00,360.49,44817646,0,6
2023-06-13 16:00:00,363.26,57097804,1,6
2023-06-14 16:00:00,365.9,69525642,2,6
2023-06-15 16:00:00,370.26,71138823,3,6
2023-06-16 16:00:00,367.93,80931971,4,6
2023-06-20 16:00:00,366.9,49204722,1,6
2023-06-21 16:00:00,361.9,53378256,2,6
2023-06-22 16:00:00,366.17,47603043,3,6
2023-06-23 16:00:00,362.54,48922911,4,6
2023-06-26 16:00:00,357.68,52685478,0,6
2023-06-27 16:00:00,363.83,49428091,1,6
2023-06-28 16:00:00,364.54,46498031,2,6
2023-06-29 16:00:00,363.81,46150967,3,6
2023-06-30 16:00:00,369.42,58712501,4,6
2023-07-03 13:05:00,370.29,19432862,0,7
2023-07-05 16:00:00,370.28,34460883,2,7
2023-07-06 16:00:00,367.46,49374728,3,7
2023-07-07 16:00:00,366.24,47133749,4,7
2023-07-10 16:00:00,366.36,48498800,0,7
2023-07-11 16:00:00,368.17,38214146,1,7
2023-07-12 16:00:00,372.82,61703696,2,7
